Compound.ID,Batch.Ref,Compound.Alias,Drug.Name,Main.Target,Selectivity,Therapeutic.Group,Library.ID,Supplier
WEHI-1217073,01,SN00734434,Cephalosporin_C_zinc_salt,Antibiotic;_interferes_with_cell_wall_synthesis,Cell_wall_synthesis,Antibiotic,KnownDrugs,LOPAC
WEHI-1217033,01,SN00734435,Ketorolac_tris_salt,Non-steroidal_anti-inflammatory_(NSAID)_drug,COX,Prostaglandin,KnownDrugs,LOPAC
WEHI-1217081,01,SN00734436,Pentolinium_di[L(+)-tartrate],Peripheral_ganglionic_nicotinic_acetylcholine_receptor_antagonist,Nicotinic,Cholinergic,KnownDrugs,LOPAC
WEHI-1217051,01,SN00734437,(±)-Norepinephrine_(+)bitartrate,Adrenergic_neurotransmitter,Acquired,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1215090,01,SN00734438,(-)-Epinephrine_bitartrate,Endogenous_hormone_and_neurotransmitter,,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1217058,01,SN00734439,(±)-Metoprolol_(+)-tartrate,Beta1-Adrenoceptor_antagonist,beta1,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1217055,01,SN00734440,R(-)-Isoproterenol_(+)-bitartrate,Sympathomimetic_amine_acting_almost_exclusively_on_beta_adrenoceptors;_bronchodilator;_active_enantiomer_of_Isoproterenol,beta,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1217050,01,SN00734441,Varenicline_tartrate,"Varenicline_tartrate_is_a_partial_a4ß2_nicotinic_receptor_agonist_and_a7_full_agonist_Varenicline_competitively_binds_to_a4ß2_receptors_and_partially_stimulates_without_creating_a_full_nicotine_effect,_while_simultaneoudly_blocking_the_ability_of_nic",a4ß2_receptors,Cholinergics,KnownDrugs,LOPAC
WEHI-1215222,01,SN00734442,Ifenprodil_tartrate,Blocks_the_polyamine_binding_site_associated_with_the_NMDA_glutamate_receptor;_neuroprotective,Polyamine_site_NMDA,Glutamate,KnownDrugs,LOPAC
WEHI-1215313,01,SN00734443,Levallorphan_tartrate,Opioid_receptor_antagonist,Acquired,Opioid,KnownDrugs,LOPAC
WEHI-1215560,01,SN00734444,S(+)-Raclopride_L-tartrate,Selective_D2_dopamine_receptor_antagonist,D2,Dopamine,KnownDrugs,LOPAC
WEHI-1215279,01,SN00734445,"(-)-cis-(1S,2R)-U-50488_tartrate",Potent_sigma_receptor_ligand,Sigma_receptor,Neurotransmission,KnownDrugs,LOPAC
WEHI-1215653,01,SN00734446,Ketanserin_tartrate,Selective_5-HT2_serotonin_receptor_blocker,5-HT2,Serotonin,KnownDrugs,LOPAC
WEHI-0104150,02,SN00734447,L(-)-Norepinephrine_bitartrate,"alpha,_beta1","alpha,_beta1",Adrenoceptor,KnownDrugs,LOPAC
WEHI-1215260,03,SN00734448,S(+)-Isoproterenol_(+)-bitartrate,Sympathomimetic_amine_acting_almost_exclusively_on_beta_adrenoceptors;_bronchodilator;_less_active_enantiomer_of_Isoproterenol,beta,Adrenoceptor,KnownDrugs,LOPAC
