name,screen.run,plate,well,concentration,average.cell.count.normalised.to.RPS19.5um,average.cell.count.normalised.to.RPS19.1.04um,average.cell.count.normalised.to.RPS19.0.21um,average.cell.count.normalised.to.RPS19.0.04um,average.p53.intensity.normalised.to.OTP.NT.5um,average.p53.intensity.normalised.to.RPS19.1.04um,average.p53.intensity.normalised.to.RPS19.0.21um,average.p53.intensity.normalised.to.RPS19.0.04um,average.cell.count.normalised.to.OTP.NT.5um,average.cell.count.normalised.to.OTP.NT.1.04um,average.cell.count.normalised.to.OTP.NT.0.21um,average.cell.count.normalised.to.OTP.NT.0.04um,average.p53.intensity.normalised.to.OTP.NT.1.04um,average.p53.intensity.normalised.to.OTP.NT.0.21um,average.p53.intensity.normalised.to.OTP.NT.0.04um,average.p53.intensity.normalised.to.RPS19.5um
SN00734547,150203,1,"J19,J20,J21,J22","5um,1.04um,0.21um,0.04um",0.88,0.91,0.96,1.01,7.15,1.01,0.88,0.82,0.2,0.2,0.21,0.22,7.46,6.5,6.05,0.97
SN00734832,150203,1,"D03,D04,D05,D06","5um,1.04um,0.21um,0.04um",1.02,1,0.89,0.98,7.88,1.06,1.23,1.11,0.23,0.22,0.2,0.22,7.8,9.05,8.16,1.07
SN00734833,150203,1,"F03,F04,F05,F06","5um,1.04um,0.21um,0.04um",0.95,1.01,1.11,0.95,7.54,1.14,1.16,1,0.21,0.22,0.24,0.21,8.39,8.56,7.36,1.03
SN00734834,150203,1,"N19,N20,N21,N22","5um,1.04um,0.21um,0.04um",0.93,0.91,0.86,0.99,5.95,0.87,1,0.97,0.21,0.2,0.19,0.22,6.42,7.36,7.14,0.81
SN00734835,150203,1,"B15,B16,B17,B18","5um,1.04um,0.21um,0.04um",0.83,0.86,1.03,1.09,9.17,1.25,1.22,1.15,0.18,0.19,0.23,0.24,9.22,8.98,8.45,1.25
SN00734838,150203,1,"L03,L04,L05,L06","5um,1.04um,0.21um,0.04um",0.99,0.95,0.91,0.96,7.28,1.03,0.93,1.09,0.22,0.21,0.2,0.21,7.55,6.83,7.99,0.99
SN00734839,150203,1,"J11,J12,J13,J14","5um,1.04um,0.21um,0.04um",0.85,0.88,0.95,1.09,8.16,1.08,1.05,1.13,0.19,0.19,0.21,0.24,7.91,7.74,8.29,1.11
SN00734841,150203,1,"F15,F16,F17,F18","5um,1.04um,0.21um,0.04um",0.48,0.57,0.65,0.92,4.5,0.87,0.83,0.87,0.11,0.13,0.14,0.2,6.43,6.12,6.4,0.61
SN00734842,150203,1,"L19,L20,L21,L22","5um,1.04um,0.21um,0.04um",0.94,0.8,0.9,0.88,6.93,1.05,0.97,1.05,0.21,0.18,0.2,0.19,7.72,7.11,7.74,0.94
SN00734845,150203,1,"J03,J04,J05,J06","5um,1.04um,0.21um,0.04um",0.98,0.98,1.17,0.96,7.71,1,0.97,1.07,0.22,0.22,0.26,0.21,7.35,7.12,7.86,1.05
SN00734848,150203,1,"D15,D16,D17,D18","5um,1.04um,0.21um,0.04um",0.92,0.94,0.93,1.52,9.7,1.1,1.05,0.83,0.2,0.21,0.21,0.34,8.11,7.71,6.11,1.32
SN00734856,150203,1,"F11,F12,F13,F14","5um,1.04um,0.21um,0.04um",0.93,1.24,0.91,1.18,8.03,1.11,1.22,1.09,0.21,0.27,0.2,0.26,8.17,8.99,8.01,1.09
