Rank,name,Drug.Name,Main.Target,average.cell.count,average.p53.intensity,Mahalanobis_dist
1,SN00735541,Ouabain,Blocks_movement_of_the_H5_and_H6_transmembrane_domains_of_Na+-K+_ATPases,-5.058893689053568,0.7136958148433589,199.15987891743146
2,SN00738029,Proscillaridin_A,Na+/K+-ATPase_inhibitor,-4.321928094887363,0.23878685958711648,165.79495162008504
3,SN00765849,"LAQ824(NVP-LAQ824,Dacinostat)",HDAC,-4.321928094887363,0.5849625007211562,143.28322253331817
4,SN00756333,Ouabain,"Na+,K+-ATPase_inhibitor",-4.058893689053568,0.37851162325372983,139.41729564300533
5,SN00756326,Homoharringtonine,Inhibitor_of_protein_synthesis._Antileukemic_agent,-2.473931188332412,0.11103131238874395,118.05632792488849
6,SN00765844,Trichostatin_A,HDAC,-4.058893689053568,0.963474123974886,105.04097479584503
7,SN00750406,LBH-589(Panobinostat),HDAC,-3.8365012677171206,0.7570232465074596,103.56000194725766
8,SN00765848,PCI-24781,HDAC,-3.643856189774725,0.6229303509201767,102.43723633812724
9,SN00756011,Flurofamide,Urease_inhibitor,-0.3400754415976217,2.017921907997262,100.32158687451854
10,SN00765855,SB939,HDAC,-3.643856189774725,0.7048719644563528,97.4435788963242
11,SN00750380,LAQ824,HDAC,-3.1844245711374275,0.5360529002402097,92.56432081878994
12,SN00765857,AR-42,HDAC,-3.643856189774725,0.8953026213333067,86.59018238382819
13,SN00765842,ITF2357,HDAC,-3.8365012677171206,1.1699250014423124,82.36011158400541
14,SN00750381,JNJ-26481585,HDAC,-3.321928094887362,0.7824085649273732,80.84853903091049
15,SN00765843,LBH589_(Panobinostat),HDAC,-3.321928094887362,0.925999418556223,72.67063604561528
16,SN00750345,SB_431542,ALK,-0.8109661756099832,1.859969548221026,71.2042442908023
17,SN00765841,JNJ-26481585,HDAC,-3.473931188332412,1.1110313123887439,68.41728636025506
18,SN00735411,Cinnarizine,Ca2+_channel_blocker;_central_and_peripheral_vasodilator,-2.0588936890535687,0.925999418556223,65.05094024082769
19,SN00750312,AZD8055,mTOR,-2.1202942337177118,0.963474123974886,61.67857235896655
20,SN00765847,Belinostat,HDAC,-2.9434164716336326,1,59.49737510712662
21,SN00755992,(-)-Cytisine,"Potent,_selective_neuronal_nicotinic_agonist",-0.7858751946471527,2.2868811477881614,58.49998963652004
22,SN00750170,YM155,Survivin,-3.0588936890535687,1.3391373849195853,45.04916893317986
23,SN00737777,Digitoxigenin,Na+_K+_ATPase_inhibitor,-2.395928676331139,1.2387868595871165,43.64858767122853
24,SN00765850,MGCD0103(Mocetinostat),HDAC,-3.0588936890535687,1.3950627995175775,42.6257338751302
25,SN00756080,Brefeldin_A,Disrupts_protein_translocation_to_Golgi,-2.736965594166206,1.2809563138310562,42.47817994663893
26,SN00737866,Lanatoside_C,Na+_K+_ATPase_inhibitor,-3.0588936890535687,1.4594316186372973,39.94864591991402
27,SN00735552,Thapsigargin,"Potent,_cell-permeable,_IP3-independent_intracellular_calcium_releaser",-3.0588936890535687,1.4698859762744636,39.52518843645238
28,SN00756390,Anisomycin,Protein_synthesis_inhibitor,-2.1844245711374275,1.372952097911829,38.87635663444534
29,SN00765798,Trichostatin_A,HDAC_inhibitor,-3.473931188332412,2.0107798387532427,36.25485058742174
30,SN00756532,Camptothecin,DNA_topoisomerase_inhibitor,-2.9434164716336326,4.263785613890803,35.939080911914104
31,SN00844618,PKI-587_,PI3K/mTOR,-2.2515387669959646,1.4956951626240689,32.590324460185734
32,SN00735255,Brefeldin_A_from_Penicillium_brefeldianum,Fungal_metabolite_that_disrupts_the_structure_and_function_of_the_Golgi_apparatus,-2.9434164716336326,1.5945485495503542,32.204408068341024
33,SN00756104,A_205804,Selective_inhibitor_of_E-selectin_and_ICAM-1_expression,-2.643856189774725,4.322649262131017,30.462035845590496
34,SN00756371,Ibudilast,PDE_inhibitor_(non-selective),-1.2515387669959646,2.4515408330178317,29.04363255634872
35,SN00844619,PF-04691502,ATP-competitive_PI3K/m_TOR_dueal_inhibitor,-2.395928676331139,1.5897634869849773,27.8154511158643
36,SN00750486,BEZ235(NVP-BEZ235),"mTOR,_PI3K",-2.395928676331139,1.6088092426755238,27.058408221021367
37,SN00750373,BIIB021,HSP90,-2.321928094887362,4.341274183692174,26.76380553620192
38,SN00737808,Trimethadione,Ca++_channel_blocker_voltage_dependant_?,-1.2515387669959646,2.5801454844233804,26.650283937804666
39,SN00765797,Ganetespib_(STA-9090),HSP90_and_its_client_proteins_inhibitor,-3.1844245711374275,3.611172380044005,24.11939486277668
40,SN00742864,GSK2126458_(HYR-582),PI3K,-2.321928094887362,1.6959938131099002,24.003234645586506
41,SN00736849,Loxapine_succinate,Dopamine_antagonist,-1.3584539709124763,2.541019153133559,22.7966759145814
42,SN00742833,PI103,PI3K,-2.0588936890535687,1.859969548221026,20.847939075665746
43,SN00735670,(S)-(+)-Camptothecin,DNA_topoisomerase_I_inhibitor,-2.643856189774725,4.04788732939655,20.463730078329014
44,SN00737653,"Camptothecine_(S,+)",Topoisomerase_I_inhibitor,-2.395928676331139,4.142413437873741,20.0880794168277
45,SN00755579,4-Methylhistamine_dihydrochloride,"Selective,_high_affinity_H4_agonist",-1.4739311883324124,2.625270489374693,17.107890377795158
