Rank,name,Drug.Name,Main.Target,average.cell.count,average.p53.intensity,Mahalanobis_dist
1,SN00755429,Pyrrolidinedithiocarbamate_ammonium,"Inhibits_NF-kappaB,_prevents_increase_in_NOS_mRNA",-6.643856189774724,2.2448870591235344,192.9538339785312
2,SN00737330,Thonzonium_bromide,Detergent,-5.643856189774724,0.37851162325372983,119.65206782350467
3,SN00737866,Lanatoside_C,Na+_K+_ATPase_inhibitor,-5.643856189774724,0.9411063109464314,111.65745238975016
4,SN00755631,NSC_632839_hydrochloride,Inhibitor_of_ubiquitin_isopeptidase_activity,-5.643856189774724,1.9411063109464315,109.58809643544235
5,SN00755703,JTC_801,Selective_NOP_antagonist,-5.643856189774724,1.584962500721156,108.54344918643471
6,SN00735541,Ouabain,Blocks_movement_of_the_H5_and_H6_transmembrane_domains_of_Na+-K+_ATPases,-5.058893689053568,0.6870606883398924,83.55012428881642
7,SN00756333,Ouabain,"Na+,K+-ATPase_inhibitor",-4.643856189774724,0.09761079662642233,80.73387624855114
8,SN00755900,ARP_101,Inhibitor_of_MMP-2,-5.058893689053568,0.963474123974886,79.29420884580298
9,SN00765843,LBH589_(Panobinostat),HDAC,-5.058893689053568,2.341985747228616,75.79466672512062
10,SN00737063,Diperodon_hydrochloride,NA,-0.2688167584278,1.9107326619029126,69.33160080562334
11,SN00734836,Emetine_dihydrochloride_hydrate,Apoptosis_inducer;_RNA-Protein_translation_inhibitor,-2.395928676331139,0.014355292977070054,65.50956584404938
12,SN00737973,Digoxigenin,Mainly_used_as_a_non-isotopic_label_for_DNA,-2.736965594166206,0.056583528366367514,59.125541939300106
13,SN00742863,Merck-22-6,AKT,-4.643856189774724,1.2141248053528473,57.62707890393269
14,SN00737778,Digoxin,Na+_K+_ATPase_inhibitor,-2.736965594166206,0.11103131238874395,56.84772990672974
15,SN00765847,Belinostat,HDAC,-4.643856189774724,1.3673710656485294,55.96744958916075
16,SN00734947,Sanguinarine_chloride,Inhibitor_of_Mg2+_and_Na+/K+-ATPase;_isolated_from_the_leaves_and_stems_of_Macleaya_cordata_and_microcarpa,-4.643856189774724,1.6088092426755238,54.09310774538619
17,SN00755916,MG_132,Proteasome_and_calpain_inhibitor._Inhibits_NF-kappaB_activation,-4.643856189774724,2.1858665453113337,53.28305327402479
18,SN00755602,EMD_386088_hydrochloride,Potent_5-HT6_agonist,-0.4344028241457749,2.2265085298086795,52.775540127611
19,SN00756326,Homoharringtonine,Inhibitor_of_protein_synthesis._Antileukemic_agent,-2.736965594166206,0.3103401206121505,48.90264629505943
20,SN00765803,Apicidin,HDAC_inhibitor,-4.321928094887363,1.0285691521967708,48.55366875417691
21,SN00742864,GSK2126458_(HYR-582),PI3K,-4.321928094887363,1.1043366598147355,47.312347492964705
22,SN00756390,Anisomycin,Protein_synthesis_inhibitor,-2.8365012677171206,0.34482849699744117,46.953939915814644
23,SN00765798,Trichostatin_A,HDAC_inhibitor,-4.321928094887363,1.1634987322828796,46.40510127705655
24,SN00737551,Terfenadine,H1_antagonist,-4.321928094887363,1.2203299548795556,45.58481669990658
25,SN00765848,PCI-24781,HDAC,-4.058893689053568,0.7990873060740036,45.511990925818864
26,SN00750380,LAQ824,HDAC,-3.643856189774725,0.5655971758542251,43.305603310836915
27,SN00765849,"LAQ824(NVP-LAQ824,Dacinostat)",HDAC,-4.321928094887363,1.4382928515791469,42.904172508936185
28,SN00735542,Dihydroouabain,Sodium-potassium_pump_inhibitor,-4.058893689053568,0.9486008474933557,42.362331296718494
29,SN00737105,Doxorubicin_hydrochloride,"DNA_intercalant,",-3.1844245711374275,4.710944154575872,42.188213292969785
30,SN00734577,N-Methyldopamine_hydrochloride,Dopamine_receptor_agonist,-0.6214883767462701,2.3362833878644325,42.050890384556716
31,SN00742873,TG-46,JAK2,-4.321928094887363,1.565597175854225,41.68001395787561
32,SN00844619,PF-04691502,ATP-competitive_PI3K/m_TOR_dueal_inhibitor,-3.321928094887362,0.5260688116675876,41.11522074306911
33,SN00765845,Vorinostat,HDAC,-4.058893689053568,1.0214797274104515,40.95299037149283
34,SN00765842,ITF2357,HDAC,-4.321928094887363,2.3757345385831563,39.7904861637917
35,SN00742879,R788_(Fostamatinib__FosD__tamatinib_fosdium),Syk,-4.321928094887363,1.9068905956085185,39.64073986173616
