Rank,name,Drug.Name,Main.Target,average.cell.count,average.p53.intensity,Mahalanobis_dist
1,SN00756532,Camptothecin,DNA_topoisomerase_inhibitor,-0.6896598793878495,1.063502942306158,36.93655075100349
2,SN00750373,BIIB021,HSP90,0,1.4168397419128291,33.829553508576886
3,SN00766643,AT13387,HSP90_inhibitor,-0.12029423371771177,1.3391373849195853,32.04023346315551
4,SN00750197,17-DMAG,HSP90,-0.6438561897747247,0.8718436485093178,27.594779226607912
5,SN00737653,"Camptothecine_(S,+)",Topoisomerase_I_inhibitor,-0.08926733809708741,1.2203299548795556,26.165824653558904
6,SN00756104,A_205804,Selective_inhibitor_of_E-selectin_and_ICAM-1_expression,-0.058893689053568565,1.2265085298086797,25.963613522223344
7,SN00765797,Ganetespib_(STA-9090),HSP90_and_its_client_proteins_inhibitor,-0.7369655941662062,0.6507645591169023,24.174985620343925
8,SN00750302,Camptothecine,Topoisomerase,-0.23446525363702297,1.1043366598147355,24.103680913006684
9,SN00735670,(S)-(+)-Camptothecin,DNA_topoisomerase_I_inhibitor,-0.10469737866669324,1.070389327891398,20.3901003649012
10,SN00750231,PHA-793887,CDK,-0.058893689053568565,1,17.20862448678882
11,SN00750398,17-AAG(Geldanamycin),HSP90,-0.15200309344504995,0.9486008474933557,16.80018426090562
12,SN00750232,Flavopiridol(Alvocidib),CDK,-0.5145731728297583,0.6599245584023783,16.53779107374791
13,SN00737094,Mitoxantrone_dihydrochloride,DNA_topoisomerase_II_inhibitor,-0.3219280948873623,0.765534746362977,14.381433753801778
14,SN00734830,Mitoxantrone,DNA_synthesis_inhibitor,-0.4150374992788438,0.6507645591169023,13.502215852336096
15,SN00750484,Mitoxantrone,Topoisomerase,-0.3219280948873623,0.6507645591169023,11.304181622352132
16,SN00765828,BIX-01294,Histone_methyl_transferase_inhibitor,0.7136958148433589,0,11.267039879353867
17,SN00735282,Imipenem_monohydrate,broad_spectrum_beta-lactam_antibiotic,-0.6214883767462701,0.16349873228287956,10.553267576224359
18,SN00750194,Adriamycin,Topoisomerase,-0.16812275880832692,0.7136958148433589,10.087535119788646
19,SN00742868,XL147_(SAR245408),PI3K,-0.4150374992788438,0.49569516262406876,9.948054401734105
20,SN00742874,SMI-4a,PIM,-0.6214883767462701,0.04264433740849372,9.55391727373862
21,SN00750334,Clofarabine,ribonucleotide_reductase,-0.07400058144377693,0.7311832415721999,9.320027848384763
22,SN00755926,RITA,p53-MDM2_interaction_inhibitor;_antitumor,-0.029146345659516508,0.7398481026993274,9.099119523664188
