Rank,name,Drug.Name,Main.Target,average.cell.count,average.p53.intensity,Mahalanobis_dist
1,SN00737116,Daunorubicin_hydrochloride,DNA_intercaling,-1.1844245711374275,1.3103401206121505,44.5867492201238
2,SN00750194,Adriamycin,Topoisomerase,-1.0588936890535685,1.4541758931858022,44.41799711388606
3,SN00737105,Doxorubicin_hydrochloride,"DNA_intercalant,",-0.8365012677171204,1.613531652917927,41.881238441803596
4,SN00755744,Doxorubicin_hydrochloride,Antitumor_antibiotic_agent._Inhibits_DNA_topoisomerase_II,-0.8109661756099832,1.5210507369009632,37.93382433897247
5,SN00750197,17-DMAG,HSP90,-0.888968687611256,1.3391373849195853,34.751233968172926
6,SN00755742,Daunorubicin_hydrochloride,RNA_synthesis_inhibitor,-0.6214883767462701,1.5360529002402097,32.738800403086
7,SN00737653,"Camptothecine_(S,+)",Topoisomerase_I_inhibitor,-0.8365012677171204,1.2630344058337937,30.85216281958796
8,SN00756212,SN_38,DNA_topoisomerase_I_inhibitor;_antitumor,-1.0892673380970874,0.5753123306874368,22.566631589825896
9,SN00750302,Camptothecine,Topoisomerase,-0.6214883767462701,1.1634987322828796,22.221771149784477
10,SN00755926,RITA,p53-MDM2_interaction_inhibitor;_antitumor,-0.7858751946471527,0.9486008474933557,21.355849371138262
11,SN00735028,cis-4-Aminocrotonic_acid,GABA-C_receptor_agonist,-0.5353317329965558,1.2016338611696504,21.127959939809266
12,SN00756532,Camptothecin,DNA_topoisomerase_inhibitor,-0.21759143507262677,1.3785116232537298,19.370556507093518
13,SN00735189,Ellipticine,Cytochrome_P450_(CYP1A1)and_DNA_topoisomerase_II_inhibitor,-0.2009126939259964,1.3561438102252754,18.53840493002331
14,SN00750334,Clofarabine,ribonucleotide_reductase,-0.5994620704162712,1.0214797274104515,18.32917889904461
15,SN00750267,PHA-739358(Danusertib),"Aurora_Kinase,_Bcr-Abl",-1,0.48542682717024166,18.29969021032604
16,SN00735670,(S)-(+)-Camptothecin,DNA_topoisomerase_I_inhibitor,-0.2863041851566411,1.2868811477881617,18.236502317426826
