Rank,name,Drug.Name,Main.Target,average.cell.count,average.p53.intensity,Mahalanobis_dist
1,SN00750391,NVP-BEP800,HSP90,0.056583528366367514,0.925999418556223,13.67227056820077
2,SN00765799,"2,4-Pyridinedicarboxylic_Acid",Histone_demethylase_inhibitor,0.765534746362977,0.014355292977070054,12.883099576278896
3,SN00756212,SN_38,DNA_topoisomerase_I_inhibitor;_antitumor,0.014355292977070054,0.8155754288625726,10.740444516478874
4,SN00755827,Telenzepine_dihydrochloride,"Potent,_selective_M1_antagonist",0.5945485495503542,0.056583528366367514,7.44672205994866
5,SN00756108,Clofarabine,Deoxycytidine_kinase_(dCK)_substrate,0.13750352374993502,0.6870606883398924,7.066415894973315
6,SN00755470,Fluvoxamine_maleate,5-HT_re-uptake_inhibitor,0.5655971758542251,0.22650852980867975,6.4866134239792546
7,SN00750375,JNJ_26854165,p53,0.02856915219677092,0.6415460290875237,6.408714996060889
8,SN00735028,cis-4-Aminocrotonic_acid,GABA-C_receptor_agonist,0.2016338611696504,0.6507645591169023,6.37019297705768
9,SN00735228,S(-)-Atenolol,beta1_adrenoceptor_antagonist,0.5360529002402097,0.070389327891398,5.942831236679795
10,SN00756399,Zaprinast,PDE5/6/9/11_inhibitor,0.5260688116675876,0.02856915219677092,5.887002821122601
11,SN00750328,Enzastaurin,PKC,0.5160151470036647,0.04264433740849372,5.590924561816024
12,SN00735687,Nimodipine,Potent_L-type_Ca2+_channel_antagonist,0.5160151470036647,0.08406426478847456,5.441714486139637
13,SN00737477,Bosentan,endothelin-1_inhibition,0.5160151470036647,0.09761079662642233,5.406021460185584
14,SN00735105,L-alpha-Methyl-p-tyrosine,Tyrosine_hydroxylase_inhibitor,0.49569516262406876,0.04264433740849372,5.139603521834524
15,SN00844627,PNX_509_014_A,PRMT5,0.34482849699744117,0.5058909297299573,4.883732030405849
16,SN00755919,NNC_26-9100,Selective_sst4_agonist,0.48542682717024166,0.056583528366367514,4.865729429880502
17,SN00755685,Xaliproden_hydrochloride,"Orally_active,_high_affinity_5-HT1A_agonist",0.48542682717024166,0.09761079662642233,4.749337776308391
18,SN00737772,Cisapride,5-HT_antagonist,0.48542682717024166,0.09761079662642233,4.749337776308391
19,SN00844625,SYN-CTx-10066,PRMT5,0.45417589318580215,0.29865831556451516,4.467036601999517
20,SN00735121,1-(4-Hydroxybenzyl)imidazole-2-thiol,Dopamine_beta-hydroxylase_inhibitor,0.45417589318580215,0.014355292977070054,4.396995568996211
21,SN00737505,Itopride,Dopamine__D2_receptors_and_ACE_inhibition,0.46466826700344427,0.09761079662642233,4.328198604529529
22,SN00756052,SCS,Selective_GABAA_receptor_antagonist;_beta1-subunit-selective,0.45417589318580215,0.25096157353321874,4.2566395595584146
23,SN00735532,ET-18-OCH3,Phosphoinositide-specific_Phospholipase_C_(PI-PLC)_inhibitor,0.44360665147561484,0.014355292977070054,4.187186804097015
24,SN00734784,Thioridazine_hydrochloride,Dopamine_receptor_antagonist;_Ca2+_channel_antagonist;_antipsychotic,0.45417589318580215,0.22650852980867975,4.1798289035275245
25,SN00755742,Daunorubicin_hydrochloride,RNA_synthesis_inhibitor,0.17632277264046287,0.5260688116675876,4.072937016747507
26,SN00844626,SYN-CTx-10063,PRMT5,0.36737106564852945,0.41142624572646497,4.029387023167155
27,SN00737431,Rifapentine,inhibits_DNA-dependent_RNA_polymerase_in_susceptible_strains_of_Mycobacterium_tuberculosis,0.43295940727610627,0.02856915219677092,3.919728627223216
28,SN00765836,CI-994,HDAC_inhibitor,0.44360665147561484,0.16349873228287956,3.883616306119446
29,SN00737784,Naproxen,Cyclooxygenase_inhibitor,0.43295940727610627,0.04264433740849372,3.8660388544755024
30,SN00735186,loxoprofen,Non-steroidal_anti-inflammatory_(NSAID)_drug;_analgesic,0.43295940727610627,0.04264433740849372,3.8660388544755024
31,SN00737907,Sulfapyridine,NA,0.43295940727610627,0.04264433740849372,3.8660388544755024
32,SN00737471,Atorvastatin,HMG-CoA_reductase_inhibition,0.43295940727610627,0.056583528366367514,3.819741433056323
33,SN00827825,SGC-CBP30,transcriptional_co-activators,0.43295940727610627,0.070389327891398,3.780629416406243
34,SN00734736,Clemizole_hydrochloride,H1_Histamine_receptor_antagonist,0.4222330006830478,0.014355292977070054,3.778603570807508
35,SN00737983,Adrenosterone,Androgenic_steroid,0.43295940727610627,0.2016338611696504,3.743905204014593
36,SN00735620,Oxolinic_acid,Quinolone_antibacterial;_DNA_gyrase_inhibitor,0.43295940727610627,0.11103131238874395,3.7044413336753004
37,SN00756241,Forskolin,Adenylyl_cyclase_activator,0.4222330006830478,0.04264433740849372,3.666411113936621
38,SN00750366,EX_527,Sirtuin,0.4222330006830478,0.04264433740849372,3.666411113936621
39,SN00737439,Acarbose,inhibits_enzymes_(glycoside_hydrolases)_needed_to_digest_carbohydrates:,0.4222330006830478,0.04264433740849372,3.666411113936621
40,SN00734438,(-)-Epinephrine_bitartrate,Endogenous_hormone_and_neurotransmitter,0.36737106564852945,0.36737106564852945,3.622123985240737
41,SN00735113,L-Mimosine_from_Koa_hoale_seeds,Potential_inhibitor_of_the_cell_cycle_giving_rise_to_growth_arrest_in_G1-phase_An_iron_chelator_that_inhibits_DNA_replication_in_mammalian_cells_Has_been_shown_to_have_apoptotic_activity_in_xenotransplanted_human_pancreatic_cancer,0.41142624572646497,0.014355292977070054,3.5800177858517372
42,SN00735231,Adenosine,Endogenous_neurotransmitter_and_neuromodulator,0.4222330006830478,0.09761079662642233,3.528969854433531
43,SN00737421,Acipimox,NA,0.4222330006830478,0.09761079662642233,3.528969854433531
44,SN00736885,Cromolyn_disodium_salt,NA,0.4222330006830478,0.11103131238874395,3.5115674882134913
45,SN00735686,Carvedilol,Antihypertensive;_cardioprotective,0.4222330006830478,0.16349873228287956,3.5043831686904374
46,SN00765819,BML-266,SIRT2_inhibitor,0.4222330006830478,0.13750352374993502,3.495829736655071
47,SN00736845,"Metoprolol-(+,-)_(+)-tartrate_salt",Beta_adrenergic_antagonist,0.4005379295837288,0.27500704749986976,3.4697917576171786
48,SN00755744,Doxorubicin_hydrochloride,Antitumor_antibiotic_agent._Inhibits_DNA_topoisomerase_II,0.15055967657538138,0.48542682717024166,3.397868157220964
49,SN00737510,Pefloxacine,DNA_gyrase_inhibitor,0.4005379295837288,0.02856915219677092,3.3283127024574237
50,SN00735445,"1,3,5-tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole",Specific_estrogen_receptor_alpha_(ERalpha)_agonist,0.37851162325372983,0.29865831556451516,3.2763760346724453
51,SN00735682,Pirenperone,5-HT2_Serotonin_receptor_antagonist,0.4005379295837288,0.056583528366367514,3.236688090913341
52,SN00737547,Chlormadinone_acetate,NA,0.4005379295837288,0.09761079662642233,3.1523628336240113
53,SN00734609,alpha-Methyl-DL-tyrosine_methyl_ester_hydrochloride,Tyrosine_hydroxylase_inhibitor,0.4005379295837288,0.16349873228287956,3.140937291830119
54,SN00735276,IMS2186,"IMS2186_is_an_anti-proliferative_and_anti-angiogenic_The_proposed_mechanism_action,_under_investigation,_is_blocking_the_cell_cycle_at_G2_and_inhibition_of_the_production_of_PGE2/TNF-a",0.3895668117627256,0.2016338611696504,3.0324524534786295
55,SN00735600,Captopril,Angiotensin-converting_enzyme_(ACE)_inhibitor;_antihypertensive,0.3895668117627256,0.070389327891398,3.0167413955166604
56,SN00737433,Zonisamide,"carbonic_anhydrase_inhibitor,_repetitive_firing_of_voltage-gated_sodium_channels_and_reduction_of_T-type_calcium_channel_currents_blocker",0.3895668117627256,0.09761079662642233,2.9701567040777643
57,SN00735223,BTO-1,Polo-like_kinase_(Plk)_inhibitor,0.3895668117627256,0.15055967657538138,2.954264050102529
58,SN00738028,Nandrolone,NA,0.37851162325372983,0.02856915219677092,2.9541030432064037
59,SN00737563,Exemestane,aromatase_Inhibitors,0.37851162325372983,0.22650852980867975,2.938904856345153
60,SN00765813,Tranylcypromine_hemisulfate,Lysine_demethylase_inhibitor,0.37851162325372983,0.04264433740849372,2.9074693097100672
61,SN00735709,Clozapine,"D4_>_D2,D3",0.36737106564852945,0.014355292977070054,2.8260449492058353
62,SN00734754,Papaverine_hydrochloride,Phosphodiesterase_inhibitor,0.36737106564852945,0.014355292977070054,2.8260449492058353
63,SN00735159,S-(-)-Carbidopa,Peripherally_active_L-aromatic_amino_acid_decarboxylase_inhibitor;_used_in_combination_with_levodopa_for_the_treatment_of_Parkinson`s_Disease,0.37851162325372983,0.16349873228287956,2.7940913756693178
64,SN00737181,Paroxetine_Hydrochloride,5-HT_uptake_inhibitor,0.37851162325372983,0.11103131238874395,2.780154902949582
