Rank,name,Drug.Name,Main.Target,average.cell.count,average.p53.intensity,Mahalanobis_dist
1,SN00750375,JNJ_26854165,p53,0.12432813500220177,1.6182386555954547,21.200349944784783
2,SN00756104,A_205804,Selective_inhibitor_of_E-selectin_and_ICAM-1_expression,0.09761079662642233,1.2387868595871165,12.41654738350423
3,SN00737740,Hycanthone,DNA_intercaling_agent,0.04264433740849372,1.1505596765753814,11.07067025009331
4,SN00750193,Topotecan_Hydrochloride,Topoisomerase,0.12432813500220177,1.1043366598147355,9.644933154978055
5,SN00750353,Irinotecan,topoisomerase,0.056583528366367514,1.0214797274104515,8.601032003481668
6,SN00756185,SB_239063,"Potent,_selective_p38_MAPK_inhibitor;_orally_active",0.3334237337251918,0.8073549220576041,4.904860991220524
7,SN00737696,Disopyramide,Na+_channel_blocker,0.6415460290875237,0.09761079662642233,4.765453698076832
8,SN00742763,ABT-869_(Linifanib_AL-39324_RG3635),Multi_Kinase_Inhibitor_(Flt3___PDGFR_&_VEGFR),0.22650852980867975,0.765534746362977,4.345968412688441
9,SN00765812,PhenylbutyrateáNa,HDAC_inhibitor,0.5849625007211562,0.070389327891398,4.026756697141122
10,SN00735680,Celecoxib,"Celecoxib_is_a_non-steroidal,_anti-inflammatory_drug_(NSAID)_and_a_cyclooxygenase-2_(COX-2)_selective_inhibitor",0.5849625007211562,0.18903382439001687,3.7425493800116536
11,SN00844625,SYN-CTx-10066,PRMT5,0.5058909297299573,0.5558161550616397,3.6661670663700816
12,SN00765813,Tranylcypromine_hemisulfate,Lysine_demethylase_inhibitor,0.5558161550616397,0.08406426478847456,3.5845035158246588
13,SN00755861,(-)-Bicuculline_methiodide,Water-soluble_GABAA_antagonist,0.5360529002402097,0.04264433740849372,3.457682637524919
14,SN00742764,SB242235,MAPK_(p38MAP),0.15055967657538138,0.6599245584023783,3.273461284401424
15,SN00735005,Ipratropium_bromide,Muscarinic_acetylcholine_receptor_antagonist;_bronchodilator,0.5160151470036647,0.04264433740849372,3.200200857577714
16,SN00844627,PNX_509_014_A,PRMT5,0.49569516262406876,0.47508488294878265,3.1828893058036174
17,SN00734472,8-Bromo-cGMP_sodium,Membrane-permeable_analog_of_cGMP,0.5058909297299573,0.08406426478847456,2.9534501895730223
18,SN00735161,Ibudilast,Phosphodiesterase_IV_(PDE_IV)_inhibitor,0.49569516262406876,0.056583528366367514,2.906607959964239
19,SN00742822,RWJ-67657,MAPK_(p38MAP),0.11103131238874395,0.6135316529179271,2.88023097491494
20,SN00750257,SU11274(PKI-SU11274),c-Met,0.36737106564852945,0.5160151470036647,2.509172380946404
21,SN00804474,LSD1-C76,LSD1_Inhibitor,0.29865831556451516,0.5558161550616397,2.4898880893910413
22,SN00750368,LY500307,Estrogen_receptor_Beta,0.2630344058337938,0.5655971758542251,2.4697764800405984
23,SN00756190,PD_160170,Selective_non-peptide_NPY_Y1_antagonist,0.13750352374993502,0.5655971758542251,2.3991585563094238
24,SN00737510,Pefloxacine,DNA_gyrase_inhibitor,0.44360665147561484,0.02856915219677092,2.393874119216952
25,SN00737000,Doxycycline_hydrochloride,NA,0.45417589318580215,0.09761079662642233,2.3378852560572305
26,SN00737565,Floxuridine,reproduction_and_growth_of_cancer_cells_inhibitor,0.056583528366367514,0.5360529002402097,2.293983728920447
27,SN00735153,L-Beta-threo-benzyl-aspartate,Preferential_EAAT3_excitatory_amino_acid_transporter_inhibitor,0.44360665147561484,0.08406426478847456,2.253289157614666
28,SN00737521,Rivastigmine,butyryl-_and_acetylcholinesterase_inhibitor,0.43295940727610627,0.056583528366367514,2.203933971743205
29,SN00737547,Chlormadinone_acetate,NA,0.44360665147561484,0.12432813500220177,2.1844914568941793
30,SN00738020,Deoxycorticosterone,"Corticoide,_aldosterone_precursor",0.44360665147561484,0.25096157353321874,2.1501156937132007
31,SN00827824,GSK-J4,Histone_demethylase_JMJD3/UTX_inhibitor,0.4222330006830478,0.04264433740849372,2.1281614031638734
32,SN00750289,Masitinib(AB1010),"c-Kit,_PDGFR,_FGFR,_VEGFR",0.09761079662642233,0.5260688116675876,2.116884819216432
33,SN00756216,SB_218078,Inhibitor_of_checkpoint_kinase_1_(Chk1),0.41142624572646497,0.014355292977070054,2.0966792934895184
34,SN00735325,"(R,R)-cis-Diethyl_tetrahydro-2,8-chrysenediol",Potent_estrogen_receptor_beta_antagonist;_potent_partial_agonist_at_estrogen_receptor_alpha,0.070389327891398,0.5160151470036647,2.0870024537207503
35,SN00844626,SYN-CTx-10063,PRMT5,0.18903382439001687,0.5160151470036647,1.9919347523139863
36,SN00737007,Tosufloxacin_hydrochloride,NA,0.4222330006830478,0.11103131238874395,1.9907332860787326
37,SN00737426,Mirtazapine,"antagonist_at_the_H1,_5-HT2A,_5-HT2C,_5-HT3,_and_a2-adrenergic_receptors,_in_that_order_of_potency",0.4222330006830478,0.11103131238874395,1.9907332860787326
38,SN00737318,Butylscopolammonium_(n-)_bromide,NA,0.4005379295837288,0.014355292977070054,1.9868974460329423
39,SN00734443,Levallorphan_tartrate,Opioid_receptor_antagonist,0.28688114778816154,0.48542682717024166,1.9827363363581108
40,SN00736883,Merbromin,NA,0.08406426478847456,0.5058909297299573,1.97552583299977
41,SN00737233,Kanamycin_A_sulfate,Ribosomal_protein_synthesis_inhibitor,0.09761079662642233,0.5058909297299573,1.9526365175739249
42,SN00765810,Isonicotinamide,nicotinamide_antagonist,0.4005379295837288,0.02856915219677092,1.9472346349734855
43,SN00735150,3-Isobutyl-1-methylxanthine,Potent_phosphodiesterase_inhibitor;_more_active_than_theophylline_at_adenosine_receptors,0.4222330006830478,0.17632277264046287,1.9346862366773065
44,SN00737251,Adenosine_5'-monophosphate_monohydrate,"Ca++_channel_block,_Adenosine_receptor_activation,_Activation_of_outward_K+_current,",0.41142624572646497,0.11103131238874395,1.8871754089747774
45,SN00827826,GSK2801,NA,0.41142624572646497,0.25096157353321874,1.8690444837022389
46,SN00750363,SB_203580,p38_MAPK,0.02856915219677092,0.47508488294878265,1.8628685049133664
47,SN00756146,Omeprazole,"H+,K+-ATPase_inhibitor",0.41142624572646497,0.15055967657538138,1.8478775916960677
48,SN00738016,(S)-(-)-Atenolol,Adrenergic_receptor_antagonist,0.32192809488736235,0.43295940727610627,1.8338158104550164
49,SN00736975,Sibutramine_HCl,neurotransmitter_reuptake_inhibitor,0.4005379295837288,0.08406426478847456,1.8256923736940192
50,SN00735592,Minoxidil,K+_channel_activator;_antihypertensive,0.4005379295837288,0.09761079662642233,1.8040775086350078
51,SN00735534,Ketoconazole,Potent_inhibitor_of_cytochrome_P450c17_enzyme;_antifungal_agent,0.4005379295837288,0.11103131238874395,1.7857802651185566
52,SN00734531,(+)-Bromocriptine_methanesulfonate,D2_dopamine_receptor_agonist;_inhibits_prolaction_secretion,0.22650852980867975,0.47508488294878265,1.7580912134052642
53,SN00737892,Sulfanilamide,Inhibitor_of_folic_acid_biosynthesis,0.4005379295837288,0.18903382439001687,1.7408428313278994
54,SN00735181,Piceatannol,Non-receptor_kinase_Syk_and_Lck_inhibitor,0.37851162325372983,0.02856915219677092,1.7366843216753418
55,SN00765840,Triacetylresveratrol,SIRT1_activator,0.37851162325372983,0.02856915219677092,1.7366843216753418
56,SN00755516,VUF_5681_dihydrobromide,Potent_H3_receptor_silent_antagonist,0.3895668117627256,0.08406426478847456,1.7241581343245298
57,SN00735586,Azelaic_acid,Antiproliferative_on_melonama_cells;_inhibits_mitochondrial_oxidoreductases_of_the_respiratory_chain_and_inhibits_DNA_synthesis,0.3895668117627256,0.09761079662642233,1.7037273758969853
58,SN00756064,LY_364947,Selective_inhibitor_of_TGF-betaRI,0.25096157353321874,0.45417589318580215,1.6867676320968024
59,SN00735061,"1,5-Isoquinolinediol",Potent_inhibitor_of_Poly(ADP-ribose)_synthetase_which_is_activated_by_nitric_oxide;_neuroprotective_agent,0.15055967657538138,0.47508488294878265,1.6828134159374981
60,SN00735172,Imazodan,Selective_phosphodiesterase_II_(PDEII)_inhibitor,0.36737106564852945,0.014355292977070054,1.6707035490834619
61,SN00735190,CPCCOEt,Selective_non-competitive_mGlu1_glutamate_receptor_antagonist,0.37851162325372983,0.070389327891398,1.647506443268038
62,SN00735666,Eupatorin,Eupatorin_acts_as_an_antiproliferative_in_cells_expressing_the_CYP1A-_family_It_induces_G2/M_block_follow_by_apoptosis_in_cells_expressing_the_CYP1A-_family,0.12432813500220177,0.46466826700344427,1.6159187909094472
63,SN00734917,Metaproterenol_hemisulfate,beta2-Adrenoceptor_agonist,0.37851162325372983,0.09761079662642233,1.6056433445725449
64,SN00755549,(+)-Anabasine_hydrochloride,Neuronal_nicotinic_receptor_agonist,0.070389327891398,0.45417589318580215,1.6031111162871645
65,SN00737269,Alcuronium_chloride,Cholinergic_receptor_antagonist,0.37851162325372983,0.11103131238874395,1.5897012734037306
66,SN00737421,Acipimox,NA,0.37851162325372983,0.11103131238874395,1.5897012734037306
67,SN00734669,Apomorphine_hydrochloride_hemihydrate,Non-selective_dopamine_receptor_agonist,0.014355292977070054,0.43295940727610627,1.582084619472718
68,SN00736940,R(-)_Apomorphine_hydrochloride_hemihydrate,"D1_agonist,_D2_agonist",0.08406426478847456,0.45417589318580215,1.5809995266807664
69,SN00737708,Chenodiol,Detergent,0.36737106564852945,0.056583528366367514,1.5742145754201897
70,SN00755468,BTCP_maleate,Potent_dopamine_uptake_inhibitor,0.25096157353321874,0.43295940727610627,1.566447056076728
71,SN00736834,Dinoprost_trometamol,Protaglandin_agonist,0.36737106564852945,0.070389327891398,1.549330853678109
72,SN00734632,RX_821002_hydrochloride,Selective_alpha2-adrenoceptor_antagonist,0.36737106564852945,0.09761079662642233,1.5098839405995157
73,SN00737201,Remoxipride_Hydrochloride,Dopaminergic_antagonist,0.04264433740849372,0.43295940727610627,1.506762708884999
74,SN00734529,Nelfinavir_mesylate_hydrate,Nelfinavir_is_a_HIV_protease_inhibitor;_antiretroviral;_and_anti-tumor_agent,0.36737106564852945,0.12432813500220177,1.4835774038634755
75,SN00765854,MC1568,HDAC,0.29865831556451516,0.37851162325372983,1.4797016900673126
76,SN00737257,Theophylline_monohydrate,Mastocyte_degranulation_inhibitor_in_vitro,0.35614381022527536,0.056583528366367514,1.4771701267597774
77,SN00737138,Tolazoline_hydrochloride,"Alpha_antagonist,_5-HT_antagonist,_Histamine_like,beta_agonist",0.056583528366367514,0.43295940727610627,1.476985188698196
78,SN00755789,Sotalol_hydrochloride,beta_antagonist,0.36737106564852945,0.13750352374993502,1.4751307450167834
79,SN00737429,Nilvadipine,calcium_channel_blocker,0.34482849699744117,0.29865831556451516,1.465550860173025
80,SN00735500,"WIN_62,577",NK1_tachykinin_receptor_antagonist,0.3103401206121505,0.35614381022527536,1.4471407584585765
81,SN00756052,SCS,Selective_GABAA_receptor_antagonist;_beta1-subunit-selective,0.3103401206121505,0.35614381022527536,1.4471407584585765
82,SN00756061,DMeOB,Negative_allosteric_modulator_at_mGlu5,0.014355292977070054,0.41142624572646497,1.4273026947742482
83,SN00738017,Tyloxapol,Surfactant,0.34482849699744117,0.04264433740849372,1.408494835357021
84,SN00755763,2-Methyl-5-hydroxytryptamine_hydrochloride,5-HT3_agonist/potent_5-HT6_ligand,0.34482849699744117,0.04264433740849372,1.408494835357021
85,SN00755961,Ritanserin,Potent_5-HT2_antagonist,0.35614381022527536,0.11103131238874395,1.4029590408619779
86,SN00755980,cis-ACPD,Potent_NMDA_agonist._Also_group_II_mGluR_agonist,0.35614381022527536,0.11103131238874395,1.4029590408619779
87,SN00755765,BU_224_hydrochloride,"Potent,_selective_I2_ligand._Putative_antagonist",0.35614381022527536,0.13750352374993502,1.3853246744515697
88,SN00736996,Tetraethylenepentamine_pentahydrochloride,bile_acid_sequestrant,0.3334237337251918,0.014355292977070054,1.3754667212391696
89,SN00737753,Bezafibrate,Lipoprotein_lipase_activator,0.3334237337251918,0.014355292977070054,1.3754667212391696
90,SN00737992,Nabumetone,Cyclooxygenase_Inhibitor,0.3334237337251918,0.014355292977070054,1.3754667212391696
91,SN00737697,Clotrimazole,Specific_inhibitor_of_Ca2+_activated_K+_channels,0.34482849699744117,0.25096157353321874,1.3693581381390287
92,SN00735530,GW5074,cRaf1_kinase_inhibitor,0.34482849699744117,0.070389327891398,1.3601396889421293
93,SN00755497,TC_2559_difumarate,Selective_partial_agonist_at_alpha4beta2_receptors,0.3334237337251918,0.02856915219677092,1.3434043410441
