Combined_rank,name,Rank_at_dose,Rank_product_metric,Drug.Name,Main.Target
1,SN00735541,"5@0.04um, 1@0.21um, 1@1.04um, 6@5um",2.340347319320716,Ouabain,Blocks_movement_of_the_H5_and_H6_transmembrane_domains_of_Na+-K+_ATPases
2,SN00738029,"8@0.04um, 2@0.21um, 2@1.04um, 3@5um",3.1301691601465746,Proscillaridin_A,Na+/K+-ATPase_inhibitor
3,SN00765849,"1@0.04um, 3@0.21um, 3@1.04um, 22@5um",3.7511661226171107,"LAQ824(NVP-LAQ824,Dacinostat)",HDAC
4,SN00756333,"4@0.04um, 5@0.21um, 7@1.04um, 9@5um",5.957892135528948,Ouabain,"Na+,K+-ATPase_inhibitor"
5,SN00765843,"3@0.04um, 15@0.21um, 11@1.04um, 20@5um",9.97490569933681,LBH589_(Panobinostat),HDAC
6,SN00765844,"2@0.04um, 6@0.21um, 16@1.04um, 54@5um",10.090756983044574,Trichostatin_A,HDAC
7,SN00765848,"14@0.04um, 7@0.21um, 6@1.04um, 21@5um",10.541420922471165,PCI-24781,HDAC
8,SN00756326,"17@0.04um, 9@0.21um, 12@1.04um, 35@5um",15.921543960663215,Homoharringtonine,Inhibitor_of_protein_synthesis._Antileukemic_agent
9,SN00750406,"9@0.04um, 11@0.21um, 17@1.04um, 48@5um",16.85898166485296,LBH-589(Panobinostat),HDAC
10,SN00765842,"10@0.04um, 12@0.21um, 19@1.04um, 42@5um",17.591223010281663,ITF2357,HDAC
11,SN00765855,"15@0.04um, 8@0.21um, 20@1.04um, 41@5um",17.71123210923403,SB939,HDAC
12,SN00750381,"7@0.04um, 16@0.21um, 25@1.04um, 53@5um",19.627205753371122,JNJ-26481585,HDAC
13,SN00765857,"12@0.04um, 10@0.21um, 22@1.04um, 63@5um",20.194640160973265,AR-42,HDAC
14,SN00737778,"705@0.04um, 4@0.21um, 4@1.04um, 15@5um",20.28150083263225,Digoxin,Na+_K+_ATPase_inhibitor
15,SN00750380,"24@0.04um, 13@0.21um, 18@1.04um, 33@5um",20.748430946740292,LAQ824,HDAC
16,SN00765841,"6@0.04um, 17@0.21um, 31@1.04um, 64@5um",21.209745623752905,JNJ-26481585,HDAC
17,SN00737777,"402@0.04um, 19@0.21um, 5@1.04um, 10@5um",24.859215237396675,Digitoxigenin,Na+_K+_ATPase_inhibitor
18,SN00750405,"19@0.04um, 37@0.21um, 23@1.04um, 60@5um",31.38402223818389,Bortezomib,proteasome
19,SN00737866,"705@0.04um, 21@0.21um, 13@1.04um, 7@5um",34.06924042089257,Lanatoside_C,Na+_K+_ATPase_inhibitor
20,SN00750170,"13@0.04um, 20@0.21um, 50@1.04um, 107@5um",34.34249016119014,YM155,Survivin
21,SN00765850,"174@0.04um, 18@0.21um, 8@1.04um, 71@5um",36.52098836257727,MGCD0103(Mocetinostat),HDAC
22,SN00765847,"705@0.04um, 14@0.21um, 14@1.04um, 17@5um",39.1492572958377,Belinostat,HDAC
23,SN00750295,"16@0.04um, 28@0.21um, 60@1.04um, 138@5um",43.88611003703714,Dasatinib,"SRC,_Abl"
24,SN00765798,"705@0.04um, 24@0.21um, 15@1.04um, 36@5um",54.979214365743715,Trichostatin_A,HDAC_inhibitor
25,SN00750486,"75@0.04um, 26@0.21um, 37@1.04um, 158@5um",58.10631787309116,BEZ235(NVP-BEZ235),"mTOR,_PI3K"
26,SN00765846,"705@0.04um, 33@0.21um, 27@1.04um, 26@5um",63.57114624912973,MS-275,HDAC
27,SN00742782,"18@0.04um, 27@0.21um, 62@1.04um, 705@5um",67.88975930497956,Dasatinib_(BMS-354825_Sprycel),Multi_Kinase_Inhibitors_(Bcr-Abl__SRC)
