Combined_rank,name,Rank_at_dose,Rank_product_metric,Drug.Name,Main.Target
1,SN00737900,"5@0.04um, 38@0.21um, 37@1.04um, 57@5um",25.159820894839292,Medrysone,NA
2,SN00737509,"36@0.04um, 54@0.21um, 23@1.04um, 53@5um",39.235120571144186,Dexamethasone_acetate,NA
3,SN00737843,"92@0.04um, 35@0.21um, 25@1.04um, 43@5um",43.13363748377283,Mometasone_furoate,NA
4,SN00735681,"54@0.04um, 75@0.21um, 20@1.04um, 50@5um",44.860463436636614,Betamethasone,SAID_(steroidal_anti-inflammatory_drug);_glucocorticoid
5,SN00737916,"69@0.04um, 26@0.21um, 68@1.04um, 51@5um",49.94308690069174,Fluocinonide,NA
6,SN00737860,"27@0.04um, 20@0.21um, 77@1.04um, 203@5um",53.90079002878874,Flurandrenolide,NA
7,SN00737361,"82@0.04um, 32@0.21um, 34@1.04um, 95@5um",53.956228879826895,Rimexolone,Glucocorticoid_receptor_agonist
8,SN00737888,"60@0.04um, 43@0.21um, 27@1.04um, 142@5um",56.08128467594952,Fluorometholone,NA
9,SN00737865,"34@0.04um, 31@0.21um, 137@1.04um, 79@5um",58.116180952585175,Halcinonide,NA
10,SN00750329,"42@0.04um, 62@0.21um, 48@1.04um, 116@5um",61.70708791226953,Rapamycin(Sirolimus),mTOR
11,SN00756214,"55@0.04um, 37@0.21um, 86@1.04um, 87@5um",62.46626357431427,Dexamethasone,Anti-inflammatory_glucocorticoid
12,SN00765805,"72@0.04um, 22@0.21um, 19@1.04um, 773@5um",69.44997088876805,Scriptaid,HDAC_inhibitor
13,SN00735476,"76@0.04um, 127@0.21um, 31@1.04um, 80@5um",69.94670300994841,Beclomethasone,Anti-inflammatory_glucocorticoid
14,SN00737417,"80@0.04um, 66@0.21um, 87@1.04um, 60@5um",72.45629223893923,Clocortolone_pivalate,Glucocorticoid_receptor_agonist
15,SN00737895,"87@0.04um, 90@0.21um, 32@1.04um, 132@5um",75.83530152733731,Flumethasone,NA
16,SN00750312,"12@0.04um, 5@0.21um, 773@1.04um, 773@5um",77.37979227961695,AZD8055,mTOR
17,SN00750327,"53@0.04um, 34@0.21um, 33@1.04um, 773@5um",82.34022608238367,Deforolimus(MK-8669),mTOR
18,SN00735285,"220@0.04um, 67@0.21um, 64@1.04um, 49@5um",82.45526359443484,13-cis-retinoic_acid,"RAR-alpha,_beta"
19,SN00765831,"61@0.04um, 27@0.21um, 49@1.04um, 773@5um",88.87247874937682,Oxamflatin,HDAC_inhibitor
20,SN00742864,"16@0.04um, 9@0.21um, 773@1.04um, 773@5um",96.31199302267605,GSK2126458_(HYR-582),PI3K
21,SN00750326,"33@0.04um, 21@0.21um, 171@1.04um, 773@5um",97.83116150341748,Everolimus(RAD001),mTOR
22,SN00844624,"773@0.04um, 153@0.21um, 29@1.04um, 28@5um",98.9935134751879,MRT67307,Dual_inhibitor_of_the_IKKe_and_TBK-1
23,SN00737374,"773@0.04um, 29@0.21um, 59@1.04um, 90@5um",104.4522989906796,Prednicarbate,Glucocorticoid_receptor_agonist
24,SN00742793,"773@0.04um, 115@0.21um, 58@1.04um, 27@5um",108.62186944977869,CC-401,JNK
25,SN00755886,"145@0.04um, 77@0.21um, 151@1.04um, 85@5um",109.41167080260205,"Dantrolene,_sodium_salt",Ca2+_release_inhibitor
26,SN00734864,"101@0.04um, 184@0.21um, 44@1.04um, 187@5um",111.200917346993,(±)-Butaclamol_hydrochloride,Dopamine_receptor_antagonist;_selective_for_D2_over_D1
27,SN00844619,"26@0.04um, 10@0.21um, 773@1.04um, 773@5um",111.64340768209092,PF-04691502,ATP-competitive_PI3K/m_TOR_dueal_inhibitor
28,SN00737597,"46@0.04um, 50@0.21um, 227@1.04um, 325@5um",114.1324824534012,Amcinonide,NA
29,SN00756516,"773@0.04um, 122@0.21um, 12@1.04um, 154@5um",114.89743218901556,Leflunomide,Dihydroorotate_dehydrogenase_inhibitor
30,SN00844618,"39@0.04um, 8@0.21um, 773@1.04um, 773@5um",116.8499135615549,PKI-587_,PI3K/mTOR
31,SN00765853,"773@0.04um, 773@0.21um, 15@1.04um, 23@5um",119.82419519879191,Droxinostat,HDAC
32,SN00755690,"41@0.04um, 68@0.21um, 104@1.04um, 773@5um",122.35631831880424,U_18666A,Inhibitor_of_hedgehog_(Hh)_signaling._Also_inhibits_cholesterol_synthesis
33,SN00737410,"110@0.04um, 533@0.21um, 773@1.04um, 5@5um",122.69231137154793,Meropenem,Peptidoglycan_synthesis_inhibitor
34,SN00734577,"773@0.04um, 206@0.21um, 494@1.04um, 3@5um",123.943492464522,N-Methyldopamine_hydrochloride,Dopamine_receptor_agonist
35,SN00735119,"91@0.04um, 82@0.21um, 175@1.04um, 194@5um",126.16060292477428,L-Tryptophan,Antidepressant;_precursor_of_serotonin
36,SN00737848,"172@0.04um, 36@0.21um, 114@1.04um, 418@5um",131.0623709539686,Isoflupredone_acetate,NA
37,SN00750280,"28@0.04um, 19@0.21um, 773@1.04um, 773@5um",133.52655829969203,SNS-032(BMS-387032),CDK
38,SN00735479,"116@0.04um, 161@0.21um, 158@1.04um, 113@5um",135.13095590050673,Spironolactone,Competitive_antagonist_of_the_cytoplasmic_aldosterone_receptor;_diuretic
39,SN00734480,"63@0.04um, 773@0.21um, 82@1.04um, 86@5um",136.13132973791988,Cefmetazole_sodium,Semi-synthetic_antibiotic_derived_from_cephamycin_C;_interferes_with_cell_wall_synthesis
40,SN00750297,"90@0.04um, 203@0.21um, 178@1.04um, 106@5um",136.25928437778475,Indirubin,"CDK,_GSK-3"
41,SN00750349,"657@0.04um, 236@0.21um, 72@1.04um, 33@5um",138.54184029497543,PIK-93,PI3K
42,SN00742789,"773@0.04um, 773@0.21um, 60@1.04um, 11@5um",140.92100470340213,Sunitinib_(Sutent_SU11248),Multi_Kinase_Inhibitor_(Flt3__Kit__PDGFR_&_VEGFR)
43,SN00737783,"59@0.04um, 53@0.21um, 773@1.04um, 167@5um",141.74441686203843,Hydrocortisone_base,NA
44,SN00755512,"44@0.04um, 39@0.21um, 315@1.04um, 773@5um",142.9722766472677,Salbutamol_hemisulfate,beta_agonist_(beta2_>_beta1)
45,SN00756485,"114@0.04um, 328@0.21um, 105@1.04um, 107@5um",143.1653577847597,Budesonide,Synthetic_glucocorticoid;_anti-inflammatory_and_chemopreventive
46,SN00750473,"444@0.04um, 365@0.21um, 102@1.04um, 26@5um",143.9833714447669,Dipyridamole,PDE
47,SN00734532,"773@0.04um, 773@0.21um, 95@1.04um, 8@5um",145.97992797207252,Sunitinib_malate,"Sunitinib_malate_is_a_receptor_tyrosine_kinase_inhibitor,_which_targets_VEGF-R1,_VEGF-R2,_VEGF-R3,_PDGF-Ra,_PDGF-R§,_KIT,_FLT3,_CSF-1R,_and_RET_Sunitinib_malate_is_an_anticancer_drug"
48,SN00736982,"83@0.04um, 80@0.21um, 89@1.04um, 773@5um",146.1956312995972,Butenafine_Hydrochloride,ergosterol_synthesis_inhibition
49,SN00737063,"773@0.04um, 773@0.21um, 773@1.04um, 1@5um",146.6002194586073,Diperodon_hydrochloride,NA
49,SN00750424,"1@0.04um, 773@0.21um, 773@1.04um, 773@5um",146.6002194586073,Bicalutamide(Casodex),androgen_receptor
49,SN00756011,"773@0.04um, 1@0.21um, 773@1.04um, 773@5um",146.6002194586073,Flurofamide,Urease_inhibitor
49,SN00756310,"773@0.04um, 773@0.21um, 1@1.04um, 773@5um",146.6002194586073,GR_103691,Highly_selective_D3_antagonist
53,SN00735381,"35@0.04um, 23@0.21um, 773@1.04um, 773@5um",148.0944274535196,TTNPB,"RAR-alpha,_beta,_gamma"
54,SN00750189,"773@0.04um, 773@0.21um, 30@1.04um, 30@5um",152.28263197095066,MK-2206,Akt
55,SN00750168,"169@0.04um, 59@0.21um, 773@1.04um, 73@5um",154.01402383653212,R406,Syk
56,SN00737534,"773@0.04um, 773@0.21um, 6@1.04um, 158@5um",154.27367719787665,Tulobuterol,beta-2-adrenergic_receptor_agonist
57,SN00844620,"773@0.04um, 64@0.21um, 116@1.04um, 101@5um",155.16176377610557,BYL-719,PI3K_alpha
58,SN00737858,"62@0.04um, 147@0.21um, 85@1.04um, 773@5um",156.43245497720113,Flunisolide,NA
59,SN00735647,"74@0.04um, 281@0.21um, 78@1.04um, 421@5um",161.6511075578265,Retinoic_acid,Induces_caspase-dependent_apoptosis
60,SN00750252,"117@0.04um, 773@0.21um, 92@1.04um, 83@5um",162.10925833292006,Hesperadin,Aurora_kinase
61,SN00756187,"773@0.04um, 773@0.21um, 2@1.04um, 614@5um",164.58465394266827,2-Chloro-N6-cyclopentyladenosine,"Potent,_selective_A1_agonist"
62,SN00742833,"773@0.04um, 13@0.21um, 773@1.04um, 109@5um",170.5816101677292,PI103,PI3K
63,SN00735139,"2@0.04um, 773@0.21um, 773@1.04um, 773@5um",174.33802404113618,"3,4-Dichloroisocoumarin",Serine_protease_inhibitor
63,SN00735411,"773@0.04um, 2@0.21um, 773@1.04um, 773@5um",174.33802404113618,Cinnarizine,Ca2+_channel_blocker;_central_and_peripheral_vasodilator
63,SN00755602,"773@0.04um, 773@0.21um, 773@1.04um, 2@5um",174.33802404113618,EMD_386088_hydrochloride,Potent_5-HT6_agonist
66,SN00737352,"158@0.04um, 221@0.21um, 335@1.04um, 82@5um",175.98554806656315,Epitiostanol,NA
67,SN00735491,"108@0.04um, 773@0.21um, 67@1.04um, 172@5um",176.11714020276693,Budesonide,Anti-inflammatory_glucocorticoid
68,SN00737569,"773@0.04um, 773@0.21um, 103@1.04um, 16@5um",177.1450612330616,Dipyridamole,"Adenosine_metabolism_inhibitor,_Phosphodiesterase_inhibitor"
69,SN00737707,"142@0.04um, 30@0.21um, 773@1.04um, 315@5um",179.4629951763599,Fludrocortisone_acetate,NA
70,SN00737913,"412@0.04um, 208@0.21um, 128@1.04um, 104@5um",183.78115009060886,Alclometasone_dipropionate,Corticode
71,SN00737618,"239@0.04um, 773@0.21um, 96@1.04um, 65@5um",184.26400065782195,Deflazacort,Glucocorticoid
72,SN00750259,"135@0.04um, 15@0.21um, 773@1.04um, 773@5um",186.50737250843463,NVP-TAE684,ALK
73,SN00750319,"66@0.04um, 773@0.21um, 773@1.04um, 32@5um",188.4791113258739,RAF265,"RAF,_VEGFR"
74,SN00735458,"257@0.04um, 131@0.21um, 261@1.04um, 149@5um",190.2207101471581,Triamcinolone,Synthetic_glucocorticoid_agonist;_inducer_of_gene_expression_and_apoptosis
75,SN00735637,"181@0.04um, 143@0.21um, 475@1.04um, 108@5um",190.8899193028612,Tropicamide,M4_muscarinic_acetylcholine_receptor_antagonist
76,SN00736944,"3@0.04um, 773@0.21um, 773@1.04um, 773@5um",192.9367391226054,Tocainide_hydrochloride,Na+_channel_inhibitor
76,SN00737072,"773@0.04um, 773@0.21um, 3@1.04um, 773@5um",192.9367391226054,Quinacrine_dihydrochloride_dihydrate,Monoamine_oxydase_inhibitor
76,SN00755992,"773@0.04um, 3@0.21um, 773@1.04um, 773@5um",192.9367391226054,(-)-Cytisine,"Potent,_selective_neuronal_nicotinic_agonist"
79,SN00742859,"773@0.04um, 590@0.21um, 13@1.04um, 240@5um",194.22115161273894,AMG-25,c-Kit
80,SN00756523,"410@0.04um, 345@0.21um, 71@1.04um, 143@5um",194.67013699060175,Retinoic_acid,Endogenous_retinoic_acid_receptor_agonist._Also_modulates_PPARdelta
81,SN00756318,"56@0.04um, 138@0.21um, 241@1.04um, 773@5um",194.78966579988284,Fluticasone_propionate,Selective_high_affinity_glucocorticoid_agonist
82,SN00737434,"701@0.04um, 48@0.21um, 236@1.04um, 184@5um",195.51148317026775,Acitretin,binds_to_nuclear_receptors_that_regulate_gene_transcription
83,SN00755581,"77@0.04um, 773@0.21um, 135@1.04um, 186@5um",196.62069774848143,4-Chlorophenylguanidine_hydrochloride,Urokinase_inhibitor
84,SN00734456,"446@0.04um, 773@0.21um, 79@1.04um, 56@5um",197.6206701672341,Phosphomycin_disodium,Antibiotic;_interferes_with_cell_wall_synthesis
85,SN00755585,"163@0.04um, 116@0.21um, 351@1.04um, 236@5um",198.93728118057567,Dimaprit_dihydrochloride,Standard_H2_selective_agonist
86,SN00750338,"96@0.04um, 126@0.21um, 773@1.04um, 179@5um",202.26399259878352,IC-87114,PI3K
87,SN00765838,"284@0.04um, 142@0.21um, 111@1.04um, 377@5um",202.6832004484687,Aminoresveratrol_sulfate,SIRT1_activator
88,SN00735638,"298@0.04um, 102@0.21um, 153@1.04um, 364@5um",202.83939782530197,CyPPA,CyPPA_is_a_positive_modulator_of_small_conductance_Ca2+-activated_K2+_channels;_selective_for_SK3_and_SK2
89,SN00750271,"773@0.04um, 773@0.21um, 144@1.04um, 21@5um",206.174615669365,XL880(GSK1363089),"c-Met,_VEGFR,_FGFR"
90,SN00737540,"94@0.04um, 556@0.21um, 45@1.04um, 773@5um",206.48982833279263,Warfarin,_vitamin_K_epoxide_reductase_inhibition
91,SN00734561,"409@0.04um, 14@0.21um, 773@1.04um, 412@5um",206.64838399112853,Gabaculine_hydrochloride,GABA_transaminase_inhibitor;_conformationally_constrained_GABA_analog
92,SN00737884,"773@0.04um, 773@0.21um, 4@1.04um, 773@5um",207.32401860523458,Benzocaine,Na+_channel_blocker
92,SN00742799,"773@0.04um, 773@0.21um, 773@1.04um, 4@5um",207.32401860523458,Akt-I-1_(Akti-1),Akt/PKB
92,SN00750345,"773@0.04um, 4@0.21um, 773@1.04um, 773@5um",207.32401860523458,SB_431542,ALK
92,SN00756086,"4@0.04um, 773@0.21um, 773@1.04um, 773@5um",207.32401860523458,Levcromakalim,KATP_channel_opener._Active_enantiomer_of_cromakalim_(Cat._No._1377)
96,SN00737925,"773@0.04um, 229@0.21um, 14@1.04um, 773@5um",209.2091266317755,Cycloheximide,NA
97,SN00750260,"773@0.04um, 298@0.21um, 70@1.04um, 123@5um",211.03268635818267,Bosutinib(SKI-606),Src
98,SN00766661,"773@0.04um, 166@0.21um, 773@1.04um, 20@5um",211.04461144370754,UNC638A,G9a_Inhibitor
99,SN00756451,"246@0.04um, 306@0.21um, 112@1.04um, 238@5um",211.6473710578962,TTNPB,Retinoic_acid_analog;_RAR_agonist
100,SN00737526,"293@0.04um, 25@0.21um, 773@1.04um, 357@5um",212.03806619203309,Sertindole,Dopamine_D2/Serotonin_5-HT2_receptor_antagonist
101,SN00755731,"226@0.04um, 343@0.21um, 773@1.04um, 34@5um",212.45416158563842,SB_216641_hydrochloride,Selective_h5-HT1B_antagonist
102,SN00756233,"75@0.04um, 305@0.21um, 773@1.04um, 118@5um",213.72516005591365,SN-6,Selective_Na+/Ca2+_exchange_inhibitor_(reverse_mode)
103,SN00734966,"134@0.04um, 192@0.21um, 189@1.04um, 439@5um",214.9478412864941,Pheniramine_maleate,H1_histamine_receptor_antagonist
104,SN00737456,"185@0.04um, 315@0.21um, 230@1.04um, 164@5um",216.52771436266258,Triamcinolone,NA
105,SN00736868,"773@0.04um, 773@0.21um, 5@1.04um, 773@5um",219.2184594941919,Chicago_sky_blue_6B,Competitive_glutamate_uptake_inhibitor
106,SN00756046,"773@0.04um, 93@0.21um, 43@1.04um, 773@5um",221.09432634654664,Parthenolide,5-HT_release_inhibitor
107,SN00735187,"218@0.04um, 603@0.21um, 123@1.04um, 150@5um",221.91800731818893,DM_235,Potent_nootropic_agent
