Combined_rank,name,Rank_at_dose,Rank_product_metric,Drug.Name,Main.Target
1,SN00750197,"5@0.04um, 4@0.21um, 9@1.04um, 5@5um",5.477225575051661,17-DMAG,HSP90
2,SN00737653,"38@0.04um, 5@0.21um, 1@1.04um, 7@5um",6.038970529620172,"Camptothecine_(S,+)",Topoisomerase_I_inhibitor
3,SN00765797,"3@0.04um, 7@0.21um, 7@1.04um, 25@5um",7.785998861091023,Ganetespib_(STA-9090),HSP90_and_its_client_proteins_inhibitor
4,SN00737094,"4@0.04um, 13@0.21um, 11@1.04um, 20@5um",10.342046976153584,Mitoxantrone_dihydrochloride,DNA_topoisomerase_II_inhibitor
5,SN00734830,"12@0.04um, 14@0.21um, 10@1.04um, 21@5um",13.705097960612406,Mitoxantrone,DNA_synthesis_inhibitor
6,SN00756532,"1402@0.04um, 1@0.21um, 3@1.04um, 12@5um",14.988653799530786,Camptothecin,DNA_topoisomerase_inhibitor
7,SN00750484,"11@0.04um, 15@0.21um, 23@1.04um, 17@5um",15.937315692689122,Mitoxantrone,Topoisomerase
8,SN00766643,"32@0.04um, 3@0.21um, 42@1.04um, 39@5um",19.91343966783738,AT13387,HSP90_inhibitor
9,SN00750194,"324@0.04um, 18@0.21um, 14@1.04um, 2@5um",20.102213753007046,Adriamycin,Topoisomerase
10,SN00750409,"6@0.04um, 69@0.21um, 18@1.04um, 31@5um",21.92343671100571,NVP-AUY922,HSP90
11,SN00737105,"248@0.04um, 25@0.21um, 16@1.04um, 3@5um",23.35652516705844,Doxorubicin_hydrochloride,"DNA_intercalant,"
12,SN00735670,"1402@0.04um, 9@0.21um, 2@1.04um, 16@5um",25.20781049900881,(S)-(+)-Camptothecin,DNA_topoisomerase_I_inhibitor
13,SN00750302,"1402@0.04um, 8@0.21um, 5@1.04um, 9@5um",26.654014435907264,Camptothecine,Topoisomerase
14,SN00755899,"1@0.04um, 229@0.21um, 92@1.04um, 48@5um",31.71145264704833,Actinomycin_D,Inhibits_RNA_polymerase
15,SN00750334,"893@0.04um, 21@0.21um, 4@1.04um, 14@5um",32.01213908696708,Clofarabine,ribonucleotide_reductase
16,SN00750398,"2@0.04um, 11@0.21um, 1402@1.04um, 70@5um",38.33250346610704,17-AAG(Geldanamycin),HSP90
17,SN00750373,"1402@0.04um, 2@0.21um, 26@1.04um, 50@5um",43.694858813884395,BIIB021,HSP90
18,SN00755926,"1402@0.04um, 22@0.21um, 24@1.04um, 10@5um",52.16094897926171,RITA,p53-MDM2_interaction_inhibitor;_antitumor
19,SN00737116,"1402@0.04um, 259@0.21um, 21@1.04um, 1@5um",52.549279777306346,Daunorubicin_hydrochloride,DNA_intercaling
20,SN00737604,"1402@0.04um, 26@0.21um, 19@1.04um, 18@5um",59.42057730584767,Cladribine,inhibits_the_enzyme_adenosine_deaminase
21,SN00734812,"1402@0.04um, 33@0.21um, 12@1.04um, 23@5um",59.77818970003139,Topotecan_hydrochloride_hydrate,Topetecan_is_a_topoisomerase_I_inhibitor_and_an_apoptosis_inducer_It_is_a_potent_antineoplastic_agent
22,SN00734576,"9@0.04um, 27@0.21um, 763@1.04um, 77@5um",61.46889190263812,ABT-418_hydrochloride,Neuronal_nicotinic_acetylcholine_receptor_agonist_with_cognition_enhancing_and_anxiolytic_activities
