Combined_rank,name,Rank_at_dose,Rank_product_metric,Drug.Name,Main.Target
1,SN00844627,"8@0.04um, 15@0.21um, 5@1.04um, 16@5um",9.89846400767953,PNX_509_014_A,PRMT5
2,SN00756104,"2@0.04um, 1625@0.21um, 2@1.04um, 2@5um",10.677899723724408,A_205804,Selective_inhibitor_of_E-selectin_and_ICAM-1_expression
3,SN00844625,"53@0.04um, 19@0.21um, 45@1.04um, 11@5um",26.57104698623853,SYN-CTx-10066,PRMT5
4,SN00844626,"17@0.04um, 26@0.21um, 36@1.04um, 35@5um",27.31795615259922,SYN-CTx-10063,PRMT5
5,SN00804474,"14@0.04um, 1204@0.21um, 11@1.04um, 21@5um",44.421336974842454,LSD1-C76,LSD1_Inhibitor
6,SN00756108,"522@0.04um, 5@0.21um, 3@1.04um, 1625@5um",59.724673169287705,Clofarabine,Deoxycytidine_kinase_(dCK)_substrate
7,SN00750375,"1625@0.04um, 7@0.21um, 1625@1.04um, 1@5um",65.56939743874393,JNJ_26854165,p53
8,SN00765812,"50@0.04um, 1625@0.21um, 30@1.04um, 9@5um",68.43791711324066,PhenylbutyrateáNa,HDAC_inhibitor
9,SN00765799,"5@0.04um, 2@0.21um, 1625@1.04um, 1625@5um",71.6847347611304,"2,4-Pyridinedicarboxylic_Acid",Histone_demethylase_inhibitor
10,SN00765813,"1625@0.04um, 60@0.21um, 31@1.04um, 12@5um",77.60449709885,Tranylcypromine_hemisulfate,Lysine_demethylase_inhibitor
11,SN00756146,"31@0.04um, 131@0.21um, 198@1.04um, 47@5um",78.40594785865004,Omeprazole,"H+,K+-ATPase_inhibitor"
12,SN00756052,"82@0.04um, 22@0.21um, 303@1.04um, 81@5um",81.57198771289161,SCS,Selective_GABAA_receptor_antagonist;_beta1-subunit-selective
13,SN00735680,"126@0.04um, 286@0.21um, 160@1.04um, 10@5um",87.13931471722198,Celecoxib,"Celecoxib_is_a_non-steroidal,_anti-inflammatory_drug_(NSAID)_and_a_cyclooxygenase-2_(COX-2)_selective_inhibitor"
14,SN00750231,"30@0.04um, 1625@0.21um, 1@1.04um, 1625@5um",94.34241654451591,PHA-793887,CDK
15,SN00737784,"10@0.04um, 29@0.21um, 1625@1.04um, 212@5um",99.97624153437067,Naproxen,Cyclooxygenase_inhibitor
16,SN00756400,"33@0.04um, 1625@0.21um, 9@1.04um, 219@5um",101.39428623941943,Rolipram,PDE4_inhibitor
17,SN00765819,"224@0.04um, 46@0.21um, 138@1.04um, 102@5um",109.74159728452028,BML-266,SIRT2_inhibitor
18,SN00735534,"20@0.04um, 765@0.21um, 275@1.04um, 51@5um",121.03154443644836,Ketoconazole,Potent_inhibitor_of_cytochrome_P450c17_enzyme;_antifungal_agent
19,SN00735005,"117@0.04um, 427@0.21um, 289@1.04um, 15@5um",121.3111471767664,Ipratropium_bromide,Muscarinic_acetylcholine_receptor_antagonist;_bronchodilator
20,SN00737421,"1137@0.04um, 43@0.21um, 76@1.04um, 66@5um",125.14013294492682,Acipimox,NA
21,SN00750257,"962@0.04um, 789@0.21um, 21@1.04um, 20@5um",133.62119192242906,SU11274(PKI-SU11274),c-Met
22,SN00756399,"185@0.04um, 10@0.21um, 1052@1.04um, 180@5um",136.80910234233062,Zaprinast,PDE5/6/9/11_inhibitor
23,SN00737696,"218@0.04um, 543@0.21um, 538@1.04um, 7@5um",145.3062047924765,Disopyramide,Na+_channel_blocker
24,SN00737122,"258@0.04um, 93@0.21um, 46@1.04um, 411@5um",145.9404150433807,Lidocane_hydrochloride,Na+_channel_blocker
25,SN00756425,"434@0.04um, 108@0.21um, 6@1.04um, 1625@5um",146.21082416978484,AC_55649,Selective_RARbeta2_agonist
26,SN00737591,"137@0.04um, 158@0.21um, 204@1.04um, 107@5um",147.4340853313717,Troglitazone,peroxisome_proliferator-activated_receptors_activator
27,SN00756432,"7@0.04um, 399@0.21um, 1625@1.04um, 149@5um",161.26036644872764,Lonidamine,Mitochondrial_hexokinase_inhibitor
28,SN00735650,"397@0.04um, 124@0.21um, 27@1.04um, 537@5um",163.45099190442383,"8-Cyclopentyl-1,3-dipropylxanthine",Selective_A1_adenosine_receptor_antagonist
29,SN00735159,"76@0.04um, 63@0.21um, 1625@1.04um, 96@5um",165.31782582217934,S-(-)-Carbidopa,Peripherally_active_L-aromatic_amino_acid_decarboxylase_inhibitor;_used_in_combination_with_levodopa_for_the_treatment_of_Parkinson`s_Disease
30,SN00735266,"75@0.04um, 1625@0.21um, 4@1.04um, 1625@5um",167.76717683442806,RepSox,"RepSox_Inhibits_TGF-beta_receptor_signaling_Retroviral_transduction_of_Sox2,_Oct4,_and_Klf4_genes_results_in_direct_reprogramming_of_somatic_cells_into_induced_pluripotent_stem_cells_(iPSCs)"
31,SN00750353,"1625@0.04um, 225@0.21um, 445@1.04um, 5@5um",168.88515418683085,Irinotecan,topoisomerase
32,SN00756212,"103@0.04um, 3@0.21um, 1625@1.04um, 1625@5um",169.01151802695662,SN_38,DNA_topoisomerase_I_inhibitor;_antitumor
33,SN00737530,"47@0.04um, 289@0.21um, 37@1.04um, 1625@5um",169.04903559849117,Tazobactam,NA
34,SN00737477,"207@0.04um, 13@0.21um, 190@1.04um, 1625@5um",169.77751241914885,Bosentan,endothelin-1_inhibition
35,SN00750365,"215@0.04um, 145@0.21um, 165@1.04um, 170@5um",171.96292828821313,Cytarabine(Cytosar-U),DNA_polymerase
36,SN00737429,"1625@0.04um, 141@0.21um, 55@1.04um, 79@5um",177.62969278892845,Nilvadipine,calcium_channel_blocker
37,SN00756393,"209@0.04um, 67@0.21um, 44@1.04um, 1625@5um",177.8819094394455,S-(-)-Atenolol,beta1-antagonist._Active_isomer_of_atenolol_(Cat._No._0387)
